date,category,title,amount
2021-06-28,supermercado,Sonda Itaim Paulista,30.72
2021-06-28,transporte,Auto Posto Europa,50
2021-06-28,transporte,Auto Posto Mora,50
2021-06-29,transporte,Recargapay Bilh Unico,30
