date,category,title,amount
2021-08-31,casa,Sodimac,54.9
2021-09-01,restaurante,Cafe e Doces,10.5
2021-09-01,casa,Center Castilho Matpco,101.9
2021-09-04,saúde,Farma e Cia,4
2021-09-08,,Crédito de rotativo,-130.7
2021-09-08,,Saldo em rotativo,130.7
2021-09-08,,Pagamento recebido,-220
2021-09-27,,IOF de rotativo,0.81
2021-09-27,,Juros de rotativo,17.76
