date;category;title;amount
30/09/2020;casa;Dicico 2/2;75.83
30/09/2020;casa;Mauro Pisos Azulejos L 2/3;89.31
15/10/2020;;Pagamento recebido;-304.66
27/10/2020;restaurante;Ifood *Ifood;107.89
27/10/2020;outros;Zp *Ifoodgorjeta;4
31/10/2020;;Multa de atraso;8.09
31/10/2020;;Juros e mora;33.57
