date,category,title,amount
2021-10-07,,Pagamento recebido,-316.57
2021-10-11,supermercado,Sonda Itaim Paulista,40.16
2021-10-13,transporte,Auto Posto Itaqua Fuel,40
2021-10-13,transporte,Mp *Oficina 1/2,280
2021-10-14,transporte,Marechal Fuel Posto de,50
2021-10-23,viagem,sem Parar,54.4
