date,category,title,amount
2021-06-30,supermercado,Morais Padaria,5
2021-07-02,,Pagamento recebido,-80.72
2021-07-05,casa,Luma Comercio de Tinta,76.45
2021-07-05,supermercado,Wangler Mandu Venuti,9
2021-07-05,transporte,Marechal Fuel,50
2021-07-05,transporte,Auto Posto Europa,60
2021-07-06,casa,Roldao Marechal Tito,31.14
2021-07-07,casa,Mauro Pisos Azulejos L,33.99
2021-07-07,supermercado,Morais Padaria,30
2021-07-08,transporte,Marechal Fuel,40
2021-07-10,casa,Assai Atacadista,30.72
2021-07-10,transporte,Auto Posto Europa,60
2021-07-12,supermercado,Oggi Sorvetes,32.5
2021-07-12,supermercado,Sonda Itaim Paulista,36.55
2021-07-13,supermercado,Sonda Itaim Paulista,40.56
2021-07-13,transporte,Auto Posto Benvenuto 3,20
