date;category;title;amount
31/10/2020;casa;Mauro Pisos Azulejos L 3/3;89.31
31/10/2020;vestuário;Decathlon Ecommerce;40.38
09/11/2020;;Pagamento recebido;-232.69
11/11/2020;casa;Mauro Pisos Azulejos L;8.99
12/11/2020;serviços;Pag*Elitupperware;6
14/11/2020;eletrônicos;Casasbahia.C*241494336 1/2;94.95
28/11/2020;restaurante;Ifood *Ifood;48
