date;category;title;amount
30/11/2020;eletrônicos;Casasbahia.C*241494336 2/2;94.95
07/12/2020;;Pagamento recebido;-266.63
07/12/2020;supermercado;Sonda Itaim Paulista;70.62
09/12/2020;transporte;Auto Posto Start Arica;80
14/12/2020;casa;Coml Morumbi;37
17/12/2020;outros;Portelinha;39.9
