date,category,title,amount
2021-10-31,transporte,Mp *Oficina 2/2,380
2021-11-08,,Pagamento recebido,-199.56
2021-11-08,,Crédito de rotativo,-85
2021-11-08,,Saldo em rotativo,85
2021-11-14,transporte,Auto Posto Europa,60
2021-11-14,viagem,sem Parar,92.77
2021-11-14,supermercado,Morais Padaria,7
2021-11-15,saúde,Farmais,62
2021-11-16,supermercado,Extra Hiper 1785 Cidad,90.55
2021-11-16,transporte,Auto Posto Europa,70
2021-11-27,,Juros de rotativo,30.74
2021-11-27,,IOF de rotativo,0.61
